CASE,OFFENSE,OFFENSE DESCRIPTION,REPORT DATE,OCCUR DATE,DAY OF WEEK ,LOCATION ,Location 1
SL2013188714,5499-6,TRAFFIC,11/29/2013 07:55:00 AM,11/29/2013 07:55:00 AM,6,"800 S REDWOOD RD
Salt Lake City, Utah
(40.752162575000455, -111.93904312099971)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013179730,5499-12,TRAFFIC,11/11/2013 12:00:00 PM,11/11/2013 11:23:00 AM,2,"2400 S WILSHIRE CIR
Salt Lake City, Utah
(40.717404831000465, -111.81428506099968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013194389,5499-7,TRAFFIC,12/10/2013 08:00:00 AM,12/10/2013 08:00:00 AM,3,"1400 S NAVAJO ST
Salt Lake City, Utah
(40.73855376200049, -111.92949417399967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201385105,5499-6,TRAFFIC,06/03/2013 08:05:00 PM,06/03/2013 07:50:00 PM,2,"200 N 4100 W
Salt Lake City, Utah
(40.682053219000466, -112.04392326999971)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201391837,5499-7,TRAFFIC,06/14/2013 07:42:00 PM,06/14/2013 12:00:00 AM,6,"2200 W NORTH TEMPLE ST
Salt Lake City, Utah
(40.771520327000474, -111.9536384319997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201374463,5401-0,TRAFFIC,05/16/2013 12:49:00 PM,05/16/2013 12:49:00 PM,5,"200 S 300 E
Salt Lake City, Utah
(40.76493413300045, -111.88260293399969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201350748,5499-7,TRAFFIC,04/04/2013 09:16:00 PM,04/04/2013 12:00:00 AM,5,"400 W 500 S
Salt Lake City, Utah
(40.75851873100049, -111.90275578899968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201327299,5404-0,TRAFFIC,02/22/2013 12:19:00 AM,02/22/2013 12:19:00 AM,6,"300 W 500 S
Salt Lake City, Utah
(40.75851170700048, -111.89980572099967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201318489,5499-7,TRAFFIC,02/05/2013 02:36:00 PM,02/05/2013 12:00:00 AM,3,"500 S STATE ST
Salt Lake City, Utah
(40.75839336000047, -111.88827130699968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013102586,5401-0,TRAFFIC,07/02/2013 06:11:00 AM,07/02/2013 06:11:00 AM,3,"00 N STATE ST
Salt Lake City, Utah
(40.772651820000476, -111.8882268319997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013201133,5401-0,TRAFFIC,12/22/2013 12:31:00 AM,12/22/2013 12:31:00 AM,1,"200 W 500 S
Salt Lake City, Utah
(40.758497785000486, -111.89693636999971)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013103631,5499-7,TRAFFIC,07/03/2013 04:39:00 PM,07/03/2013 04:39:00 PM,4,"1500 S FOOTHILL DR
Salt Lake City, Utah
(40.73738936300049, -111.82365445799968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201383162,5499-0,TRAFFIC,05/31/2013 04:42:00 PM,05/31/2013 12:00:00 AM,6,"1800 S BANGERTER SOUTHBOUND HWY
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201336768,5499-8,TRAFFIC,03/11/2013 11:20:00 AM,03/11/2013 12:00:00 AM,2,"REDWOOD RD / NORTH TEMPLE ST
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201387871,5499-7,TRAFFIC,06/08/2013 02:21:00 PM,06/08/2013 12:00:00 AM,7,"1300 S WEST TEMPLE ST
Salt Lake City, Utah
(40.74151196300045, -111.8939739119997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201395012,5499-7,TRAFFIC,06/19/2013 08:16:00 PM,06/19/2013 08:16:00 PM,4,"200 N 400 W
Salt Lake City, Utah
(40.773793784000475, -111.90248209099968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201350857,5404-0,TRAFFIC,04/05/2013 01:04:00 AM,04/05/2013 01:04:00 AM,6,"400 S 200 W
Salt Lake City, Utah
(40.76058108100045, -111.89684508799968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013800179,5401-0,TRAFFIC,02/12/2013 03:56:00 PM,02/09/2013 11:00:00 PM,7,"2200 E RAMONA AVE
Salt Lake City, Utah
(40.72837160500046, -111.82728042699966)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20137433,5499-84,TRAFFIC,01/15/2013 12:07:00 PM,01/15/2013 12:07:00 PM,3,"500 N TERMINAL NORTHBOUND DR
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013138282,5499-8,TRAFFIC,08/27/2013 11:27:00 AM,08/27/2013 12:00:00 AM,3,"400 S 400 W
Salt Lake City, Utah
(40.760572141000466, -111.90267252499967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013169613,5499-8,TRAFFIC,10/23/2013 09:16:00 AM,10/23/2013 12:00:00 AM,4,"800 N 1200 W
Salt Lake City, Utah
(40.78671139400046, -111.92547405299968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013145246,5499-7,TRAFFIC,09/07/2013 07:06:00 PM,09/07/2013 12:00:00 AM,7,"2100 S 1100 E
Salt Lake City, Utah
(40.725304218000474, -111.8596637069997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20133234,5499-8,TRAFFIC,01/07/2013 12:57:00 PM,01/07/2013 12:00:00 AM,2,"800 E 800 S
Salt Lake City, Utah
(40.75193325200047, -111.86794109899967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013117889,5499-8,TRAFFIC,07/25/2013 08:35:00 AM,07/25/2013 08:35:00 AM,5,"200 N 1000 W
Salt Lake City, Utah
(40.7737414070005, -111.91966397499971)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013178590,5403-0,TRAFFIC,11/09/2013 01:28:00 AM,11/09/2013 01:28:00 AM,7,"300 S WEST TEMPLE ST
Salt Lake City, Utah
(40.762693354000476, -111.8939928259997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20135441,5499-7,TRAFFIC,01/11/2013 12:59:00 PM,01/11/2013 12:59:00 PM,6,"600 W 400 S
Salt Lake City, Utah
(40.77805731000046, -111.9083664739997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201342299,5499-7,TRAFFIC,03/20/2013 08:45:00 PM,03/20/2013 12:00:00 AM,4,"500 N TERMINAL NORTHBOUND DR
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013105245,5499-11,TRAFFIC,07/05/2013 11:59:00 PM,07/05/2013 11:59:00 PM,6,"400 W 300 S
Salt Lake City, Utah
(40.762850836000496, -111.90275535399968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013116899,5401-0,TRAFFIC,07/23/2013 10:53:00 PM,07/23/2013 10:53:00 PM,3,"1100 S MODESTO CIR
Salt Lake City, Utah
(40.743151052000485, -111.92009524299971)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20131929,5499-7,TRAFFIC,01/04/2013 06:44:00 PM,01/04/2013 06:44:00 PM,6,"1300 S MAIN ST
Salt Lake City, Utah
(40.7415120870005, -111.89111371099972)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013170354,5499-6,TRAFFIC,10/24/2013 02:44:00 PM,10/24/2013 02:44:00 PM,5,"3600 W 500 S
Salt Lake City, Utah
(40.758417274000465, -111.97354966099971)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201333745,5499-7,TRAFFIC,03/06/2013 09:01:00 AM,03/06/2013 12:00:00 AM,4,"1300 E 300 S
Salt Lake City, Utah
(40.76282716100047, -111.8537701409997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013130154,5499-7,TRAFFIC,08/14/2013 11:29:00 AM,08/14/2013 12:00:00 AM,4,"00 E 600 S
Salt Lake City, Utah
(40.7563047430005, -111.88389803499967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201312087,5499-7,TRAFFIC,01/24/2013 04:24:00 PM,01/24/2013 12:00:00 AM,5,"1200 S REDWOOD RD
Salt Lake City, Utah
(40.79498040800047, -111.93919375499968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013113349,5499-7,TRAFFIC,07/18/2013 01:11:00 PM,07/18/2013 12:00:00 AM,5,"600 E 400 S
Salt Lake City, Utah
(40.76052489300048, -111.87375096899967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201313818,5499-12,TRAFFIC,01/27/2013 08:06:00 PM,01/27/2013 08:06:00 PM,1,"1300 S GLENMARE ST
Salt Lake City, Utah
(40.74059858200047, -111.84570560099968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013116225,5499-7,TRAFFIC,07/22/2013 09:38:00 PM,07/22/2013 12:00:00 AM,2,"500 S 200 W
Salt Lake City, Utah
(40.758380074000456, -111.89685358199966)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201367680,5401-0,TRAFFIC,05/05/2013 12:42:00 AM,05/05/2013 12:42:00 AM,1,"600 S WEST TEMPLE ST
Salt Lake City, Utah
(40.75621014900048, -111.89397510799967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013195723,5499-8,TRAFFIC,12/12/2013 03:43:00 PM,12/12/2013 03:43:00 PM,5,"00 W 400 S
Salt Lake City, Utah
(40.76066207300045, -111.92334523499972)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201377858,5499-7,TRAFFIC,05/22/2013 11:56:00 AM,05/22/2013 11:56:00 AM,4,"100 E 1300 S
Salt Lake City, Utah
(40.74158806100047, -111.88799309599972)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013144404,5499-7,TRAFFIC,09/06/2013 01:43:00 PM,09/06/2013 12:00:00 AM,6,"300 W 2100 S
Salt Lake City, Utah
(40.72544770000047, -111.89983724599966)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013148119,5499-7,TRAFFIC,09/12/2013 01:03:00 PM,09/12/2013 01:03:00 PM,5,"1600 S REDWOOD RD
Salt Lake City, Utah
(40.7358212150005, -111.93909567499969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201367784,5404-0,TRAFFIC,05/05/2013 06:54:00 AM,05/05/2013 06:36:00 AM,1,"400 S CONCORD ST
Salt Lake City, Utah
(40.76055426100049, -111.9270635149997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013800965,5401-0,TRAFFIC,07/06/2013 04:48:00 PM,07/06/2013 01:30:00 PM,7,"1600 S EMPIRE RD
Salt Lake City, Utah
(40.735120520000464, -111.94273702199968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201323820,5401-0,TRAFFIC,02/14/2013 05:30:00 PM,02/14/2013 05:30:00 PM,5,"400 S 1000 E
Salt Lake City, Utah
(40.760370183000475, -111.86292996299971)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013187150,5404-0,TRAFFIC,11/25/2013 10:31:00 PM,11/25/2013 07:29:00 PM,2,"1900 W SPRINGFIELD RD
Salt Lake City, Utah
(40.79962813600048, -111.94522000399968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013145833,5401-0,TRAFFIC,09/08/2013 06:28:00 PM,09/08/2013 06:28:00 PM,1,"300 W HOPE AVE
Salt Lake City, Utah
(40.738918948000446, -111.89981512799972)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013159968,5499-7,TRAFFIC,10/04/2013 05:05:00 PM,10/04/2013 12:00:00 AM,6,"1000 E 2100 S
Salt Lake City, Utah
(40.72537602700049, -111.86237019699968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013184170,5404-0,TRAFFIC,11/19/2013 10:32:00 PM,11/19/2013 10:17:00 PM,3,"500 W 200 S
Salt Lake City, Utah
(40.765116719000446, -111.90556798399967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201310819,5401-0,TRAFFIC,01/22/2013 12:38:00 PM,01/22/2013 12:15:00 PM,3,"800 S WEST TEMPLE ST
Salt Lake City, Utah
(40.75186144200046, -111.89397510599969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201358045,5499-8,TRAFFIC,04/18/2013 05:44:00 AM,04/18/2013 12:00:00 AM,5,"200 S WEST TEMPLE ST
Salt Lake City, Utah
(40.76492118400046, -111.89399427499967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201393009,5499-7,TRAFFIC,06/16/2013 04:08:00 PM,06/16/2013 04:08:00 PM,1,"500 N TERMINAL NORTHBOUND DR
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013199684,5499-8,TRAFFIC,12/19/2013 03:45:00 PM,12/19/2013 03:45:00 PM,5,"100 N WRIGHT BROTHERS DR
Salt Lake City, Utah
(40.77185435600046, -112.0055943809997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201381681,5499-7,TRAFFIC,05/29/2013 09:59:00 AM,05/29/2013 09:59:00 AM,4,"2100 S FOOTHILL DR
Salt Lake City, Utah
(40.725740000000485, -111.81483603099969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201389173,5499-8,TRAFFIC,06/10/2013 04:54:00 PM,06/10/2013 12:00:00 AM,2,"1700 S REDWOOD RD
Salt Lake City, Utah
(40.7330538060005, -111.93907347099969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20138218,5499-12,TRAFFIC,01/16/2013 09:32:00 PM,01/16/2013 09:32:00 PM,4,"400 E 200 S
Salt Lake City, Utah
(40.76498435500048, -111.8795078869997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201318219,5499-7,TRAFFIC,02/05/2013 01:32:00 AM,02/05/2013 01:32:00 AM,3,"700 N REDWOOD RD
Salt Lake City, Utah
(40.828761855000494, -111.9372164399997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201323872,5499-8,TRAFFIC,02/15/2013 10:24:00 AM,02/15/2013 12:00:00 AM,6,"00 E 600 S
Salt Lake City, Utah
(40.7563047430005, -111.88389803499967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201341806,5404-0,TRAFFIC,03/20/2013 11:45:00 PM,03/20/2013 11:42:00 PM,4,"300 S RIO GRANDE ST
Salt Lake City, Utah
(40.76197099100045, -111.90414710399972)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201343960,5499-7,TRAFFIC,03/23/2013 06:44:00 PM,03/23/2013 12:00:00 AM,7,"500 S WEST TEMPLE ST
Salt Lake City, Utah
(40.75839336000047, -111.89398396599967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013202833,5499-8,TRAFFIC,12/26/2013 09:15:00 AM,12/24/2013 03:35:00 PM,3,"1100 S REDWOOD RD
Salt Lake City, Utah
(40.74503910900046, -111.93905153599968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201395482,5499-84,TRAFFIC,06/20/2013 03:36:00 PM,06/20/2013 03:15:00 PM,5,"1200 NORTH 3900 WEST
Salt Lake City, Utah
(40.7033352360005, -111.98425582399972)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201342057,5499-7,TRAFFIC,03/20/2013 02:13:00 PM,03/20/2013 12:00:00 AM,4,"WARNOCK AVE / HIGHLAND DR
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201398439,5499-84,TRAFFIC,06/25/2013 12:36:00 PM,06/25/2013 12:30:00 PM,3,"700 N TERMINAL NORTHBOUND DR
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201383458,5499-5,TRAFFIC,06/01/2013 02:17:00 AM,06/01/2013 02:17:00 AM,7,"2200 WEST NORTH TEMPLE
Salt Lake City, Utah
(40.771520327000474, -111.9536384319997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013135113,5499-6,TRAFFIC,08/22/2013 12:27:00 PM,08/22/2013 12:27:00 PM,5,"1300 W 400 S
Salt Lake City, Utah
(40.7606713400005, -111.92850673799967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201375756,5499-12,TRAFFIC,05/18/2013 04:37:00 PM,05/18/2013 04:37:00 PM,7,"100 S 700 E
Salt Lake City, Utah
(40.76709077300046, -111.87110233299967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013196139,5499-8,TRAFFIC,12/13/2013 11:34:00 AM,12/13/2013 11:34:00 AM,6,"2000 S 900 W
Salt Lake City, Utah
(40.72714925300045, -111.91690177099969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013198921,5499-6,TRAFFIC,12/18/2013 01:31:00 PM,12/18/2013 01:31:00 PM,4,"7200 W 2100 S
Salt Lake City, Utah
(40.72553021500045, -112.0634749889997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013165057,5499-11,TRAFFIC,10/14/2013 01:25:00 PM,10/14/2013 01:25:00 PM,2,"900 S 700 E
Salt Lake City, Utah
(40.74969598700045, -111.87115789299969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013152807,5499-7,TRAFFIC,09/20/2013 04:54:00 PM,09/20/2013 12:00:00 AM,6,"900 W 1000 N
Salt Lake City, Utah
(40.791072021000446, -111.91696476299967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013182328,5499-6,TRAFFIC,11/16/2013 08:14:00 AM,11/16/2013 08:14:00 AM,7,"00 N A ST
Salt Lake City, Utah
(40.76995732400047, -111.88353713699968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013130423,5499-8,TRAFFIC,08/14/2013 06:24:00 PM,08/14/2013 12:00:00 AM,4,"800 S WEST TEMPLE ST
Salt Lake City, Utah
(40.75186144200046, -111.89397510599969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013127338,5499-6,TRAFFIC,08/09/2013 05:15:00 PM,08/09/2013 05:15:00 PM,6,"400 S WEST TEMPLE ST
Salt Lake City, Utah
(40.7605942830005, -111.8939839679997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013127087,5499-7,TRAFFIC,08/09/2013 09:23:00 AM,08/09/2013 09:23:00 AM,6,"400 W 500 S
Salt Lake City, Utah
(40.75851873100049, -111.90275578899968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201382426,5499-7,TRAFFIC,05/30/2013 02:20:00 PM,05/30/2013 02:20:00 PM,5,"00 S STATE ST
Salt Lake City, Utah
(40.6574974400005, -111.88831032099966)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201367882,5499-8,TRAFFIC,05/05/2013 12:00:00 PM,05/05/2013 12:00:00 AM,1,"2200 S 1300 E
Salt Lake City, Utah
(40.72281101700048, -111.85368533999969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013109738,5499-7,TRAFFIC,07/12/2013 08:06:00 PM,07/12/2013 08:06:00 PM,6,"500 S CHEYENNE ST
Salt Lake City, Utah
(40.75833116500047, -111.93429055399969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013162197,5499-7,TRAFFIC,10/08/2013 10:33:00 PM,10/08/2013 12:00:00 AM,3,"00 N 400 W
Salt Lake City, Utah
(40.78100612700047, -111.90252619499967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013183195,5499-6,TRAFFIC,11/18/2013 07:03:00 AM,11/18/2013 07:03:00 AM,2,"600 N 800 W
Salt Lake City, Utah
(40.78249111100047, -111.91394245299966)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201364152,5499-7,TRAFFIC,04/29/2013 08:56:00 AM,04/29/2013 08:56:00 AM,2,"2200 S 700 E
Salt Lake City, Utah
(40.72289135300048, -111.8712667429997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013184593,5499-2,TRAFFIC,11/20/2013 06:43:00 PM,11/20/2013 06:43:00 PM,4,"11000 S LUCAS LN
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201335205,5499-7,TRAFFIC,03/08/2013 02:45:00 PM,03/08/2013 12:00:00 AM,6,"NORTH TEMPLE ST / STATE ST
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013113403,5499-7,TRAFFIC,07/18/2013 02:28:00 PM,07/18/2013 02:28:00 PM,5,"300 S 200 E
Salt Lake City, Utah
(40.762679980000485, -111.8854013029997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201374230,5499-6,TRAFFIC,05/16/2013 12:17:00 AM,05/14/2013 12:16:00 AM,3,"200 S RIO GRANDE ST
Salt Lake City, Utah
(40.76482373300047, -111.90411309999968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013186972,5499-6,TRAFFIC,11/25/2013 01:40:00 PM,11/25/2013 01:39:00 PM,2,"700 N TERMINAL DR
Salt Lake City, Utah
(40.78341093300048, -111.98068675399969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013187406,5499-5,TRAFFIC,11/26/2013 10:41:00 AM,11/25/2013 04:45:00 PM,2,"2400 S 700 E
Salt Lake City, Utah
(40.71765191100047, -111.87127501599969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013191379,5499-7,TRAFFIC,12/04/2013 08:25:00 AM,12/04/2013 08:25:00 AM,4,"600 N 300 W
Salt Lake City, Utah
(40.78249996900047, -111.89966080499971)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013154237,5401-0,TRAFFIC,09/23/2013 01:56:00 PM,09/23/2013 01:56:00 PM,2,"600 N REDWOOD RD
Salt Lake City, Utah
(40.78261030300047, -111.93935422799967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013154744,5499-7,TRAFFIC,09/24/2013 03:21:00 PM,09/24/2013 03:21:00 PM,3,"500 S REDWOOD RD
Salt Lake City, Utah
(40.75831364800047, -111.93906526599972)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013122335,5499-8,TRAFFIC,08/01/2013 04:56:00 PM,08/01/2013 12:00:00 AM,5,"300 W 600 S
Salt Lake City, Utah
(40.762390422000465, -111.9082065929997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201397334,5499-7,TRAFFIC,06/23/2013 02:21:00 PM,06/23/2013 12:00:00 AM,1,"800 S 1300 E
Salt Lake City, Utah
(40.75186144200046, -111.85393334699967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20135815,5499-2,TRAFFIC,01/12/2013 02:05:00 AM,01/12/2013 02:05:00 AM,7,"900 S LAKE ST
Salt Lake City, Utah
(40.74969928200045, -111.86972872899969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013148662,5499-8,TRAFFIC,09/13/2013 09:55:00 AM,09/13/2013 12:00:00 AM,6,"STRINGHAM AVE / FOOTHILL DR
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013103710,5499-7,TRAFFIC,07/03/2013 06:57:00 PM,07/03/2013 12:00:00 AM,4,"800 E 300 S
Salt Lake City, Utah
(40.76280356600046, -111.8679505289997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013199079,5499-7,TRAFFIC,12/18/2013 06:06:00 PM,12/18/2013 06:06:00 PM,4,"1100 S 700 W
Salt Lake City, Utah
(40.74525566500046, -111.9111093459997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013162952,5499-8,TRAFFIC,10/10/2013 11:20:00 AM,10/10/2013 11:20:00 AM,5,"200 E 400 S
Salt Lake City, Utah
(40.76055413600045, -111.8852389919997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201310149,5499-84,TRAFFIC,01/20/2013 04:46:00 PM,01/20/2013 04:30:00 PM,1,"300 NORTH 2370 WEST
Salt Lake City, Utah
(40.775964013000475, -111.9574247279997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013841,5499-5,TRAFFIC,01/02/2013 05:06:00 PM,01/02/2013 04:50:00 PM,4,"400 S STATE ST
Salt Lake City, Utah
(40.76047028700049, -111.8882535939997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013103113,5499-8,TRAFFIC,07/02/2013 10:12:00 PM,07/02/2013 12:00:00 AM,3,"500 W 500 S
Salt Lake City, Utah
(40.7585419560005, -111.9055767319997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201345352,5499-5,TRAFFIC,03/26/2013 01:55:00 PM,03/26/2013 12:00:00 AM,3,"2100 S REDWOOD RD
Salt Lake City, Utah
(40.814307631000474, -111.9384344019997)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013176441,5499-8,TRAFFIC,11/05/2013 07:31:00 AM,11/05/2013 07:31:00 AM,3,"2100 S 1300 E
Salt Lake City, Utah
(40.725329676000456, -111.85387930099967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201377367,5499-2,TRAFFIC,05/21/2013 02:18:00 PM,05/21/2013 02:18:00 PM,3,"700 E 2700 S
Salt Lake City, Utah
(40.71265318100046, -111.87114734399967)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL20134080,5499-6,TRAFFIC,01/09/2013 01:54:00 AM,01/09/2013 01:54:00 AM,4,"200 S RIO GRANDE ST
Salt Lake City, Utah
(40.76482373300047, -111.90411309999968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL201398972,5499-7,TRAFFIC,06/26/2013 10:39:00 AM,06/26/2013 10:39:00 AM,4,"REDWOOD RD / INDIANA AVE
Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013111643,5499-6,TRAFFIC,07/15/2013 09:35:00 PM,07/15/2013 09:35:00 PM,2,"400 S 200 W
Salt Lake City, Utah
(40.76058108100045, -111.89684508799968)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
SL2013103357,5499-7,TRAFFIC,07/03/2013 10:43:00 AM,07/03/2013 10:43:00 AM,4,"800 S WEST TEMPLE ST
Salt Lake City, Utah
(40.75186144200046, -111.89397510599969)","Salt Lake City, Utah
(40.66726905100046, -111.92357267799969)"
